"","name","ortho","phono"
"4109","4109","cracker","kr@kX"
"4110","4110","crackle","kr@kL"
"4113","4113","craft","kr@ft"
"4115","4115","crafty","kr@fti"
"4117","4117","cram","kr@m"
"4118","4118","cramp","kr@mp"
"4120","4120","crane","kren"
"4122","4122","crank","kr@Gk"
"4123","4123","cranky","kr@Gki"
"4124","4124","cranny","kr@ni"
"4125","4125","crape","krep"
"4126","4126","craps","kr@ps"
"4128","4128","crash","kr@S"
"4129","4129","crass","kr@s"
"4130","4130","crate","kret"
"4131","4131","crater","kretX"
"4133","4133","crave","krev"
"4137","4137","crawl","krcl"
"4139","4139","crayon","krean"
"4140","4140","craze","krez"
"4141","4141","crazy","krezi"
"4142","4142","creak","krik"
"4143","4143","cream","krim"
"4146","4146","create","kriet"
"4148","4148","creator","krietX"
"4157","4157","credo","krido"
"4160","4160","creed","krid"
"4161","4161","creel","kril"
"4162","4162","creep","krip"
"4163","4163","creepy","kripi"
"4164","4164","cremate","krimet"
"4169","4169","creole","kriol"
"4174","4174","crescent","krEsNt"
"4175","4175","cress","krEs"
"4176","4176","crest","krEst"
"4182","4182","crew","kru"
"4185","4185","crick","krIk"
"4187","4187","crier","krYX"
"4188","4188","crime","krYm"
"4193","4193","crimp","krImp"
"4196","4196","crinkle","krIGkL"
"4208","4208","croak","krok"
"4210","4210","crock","krak"
"4213","4213","crone","kron"
"4214","4214","crony","kroni"
"4217","4217","croon","krun"
"4218","4218","crop","krap"
"4220","4220","croquet","kroke"
"4229","4229","crouch","krWC"
"4230","4230","croup","krup"
"4233","4233","crow","kro"
"4244","4244","crude","krud"
"4246","4246","cruel","krul"
"4248","4248","cruise","kruz"
"4249","4249","cruiser","kruzX"
"4263","4263","cry","krY"
"4264","4264","crypt","krIpt"
"4272","4272","cube","kyub"
"4281","4281","cue","kyu"
"4309","4309","cur","kR"
"4313","4313","curb","kRb"
"4314","4314","curd","kRd"
"4315","4315","curdle","kRdL"
"4323","4323","curl","kRl"
"4324","4324","curlew","kRlu"
"4329","4329","curry","kRi"
"4330","4330","curse","kRs"
"4333","4333","curt","kRt"
"4335","4335","curtain","kRtN"
"4338","4338","curve","kRv"
"4354","4354","cute","kyut"
"4383","4383","cyst","sIst"
"4385","4385","czar","zar"
"4387","4387","d","di"
"4390","4390","dace","des"
"4395","4395","dad","d@d"
"4396","4396","daddy","d@di"
"4399","4399","daft","d@ft"
"4403","4403","daily","deli"
"4406","4406","dairy","dEri"
"4407","4407","dais","dexs"
"4408","4408","daisy","dezi"
"4409","4409","dale","del"
"4410","4410","dally","d@li"
"4412","4412","dam","d@m"
"4416","4416","dame","dem"
"4419","4419","damned","d@md"
"4420","4420","damp","d@mp"
"4430","4430","dandy","d@ndi"
"4431","4431","Dane","den"
"4436","4436","dank","d@Gk"
"4438","4438","dapple","d@pL"
