"","name","ortho","phono"
"10658","10658","mellow","mElo"
"10666","10666","melt","mElt"
"10670","10670","memo","mEmo"
"10682","10682","mend","mEnd"
"10707","10707","mercer","mRsX"
"10712","10712","mercy","mRsi"
"10716","10716","merger","mRJX"
"10724","10724","merry","mEri"
"10725","10725","mesa","mesx"
"10745","10745","metal","mEtL"
"10764","10764","meter","mitX"
"10782","10782","mica","mYkx"
"10795","10795","midday","mIde"
"10796","10796","midden","mIdN"
"10797","10797","middle","mIdL"
"10801","10801","middy","mIdi"
"10811","10811","mighty","mYti"
"10820","10820","milch","mIlk"
"10821","10821","mild","mYld"
"10857","10857","mince","mIns"
"10859","10859","mind","mYnd"
"10862","10862","miner","mYnX"
"10879","10879","mink","mIGk"
"10881","10881","minnow","mIno"
"10885","10885","mint","mInt"
"10930","10930","miser","mYzX"
"10954","10954","missal","mIsL"
"10961","10961","mist","mIst"
"10976","10976","mitre","mYtX"
"10978","10978","mitten","mItN"
"10979","10979","mix","mIks"
"10981","10981","mizen","mIzN"
"10986","10986","mobile","mobL"
"10993","10993","modal","modL"
